freOcurr_Id,freOcurr_Group,law_Code,spot_Code,freOcurr_Name,ocurr_Count,injury_Count,dead_Count,sland_Count,sInjury_Count,longitude,latitude,risk
6176977,2016047,1147010200,11470005,서울특별시 양천구 목동(JS빌딩 부근),4,5,0,2,3,126.8633697,37.53610227,
6195197,2016047,1150010300,11500001,서울특별시 강서구 화곡동((주)슈퍼텍 부근),8,10,0,3,7,126.8354161,37.54025017,
6195832,2016047,1156012700,11560010,서울특별시 영등포구 양평동3가(서부간선도로-제물포길램프(9) 부근),6,9,0,2,6,126.8891271,37.53107421,
6195829,2016047,1156010100,11560011,서울특별시 영등포구 영등포동(롯데백화점(영등포점) 부근),6,6,0,2,3,126.9066848,37.51433786,
6193598,2016047,1126010400,11260014,서울특별시 중랑구 묵동(북부간선도로-동부간선도로램프( 부근),4,4,0,0,3,127.0725743,37.6088289,
6193913,2016047,1129013900,11290001,서울특별시 성북구 석관동(돌곶이역 부근),8,8,0,5,2,127.0574305,37.61046821,
6193919,2016047,1135010200,11350006,서울특별시 노원구 월계동(월계2교(남단) 부근),6,6,0,1,4,127.0497611,37.62422242,
6176762,2016047,1135010500,11350007,서울특별시 노원구 상계동(상계7동사무소 부근),6,6,0,1,2,127.0669784,37.65627239,
6195193,2016047,1150010900,11500002,서울특별시 강서구 방화동(신방화사거리_방화로_진입 부근),8,8,0,3,3,126.8167841,37.57428168,
6195190,2016047,1150010200,11500003,서울특별시 강서구 등촌동(조흥은행등촌동지점 부근),8,8,0,1,7,126.8543601,37.55525824,
6195828,2016047,1156013200,11560012,서울특별시 영등포구 신길동(신풍역 부근),6,6,0,2,3,126.9076237,37.50010739,
6196145,2016047,1156011100,11560013,서울특별시 영등포구 당산동1가(영등포유통상가 부근),6,6,0,2,3,126.8958135,37.52154014,
6193918,2016047,1129013500,11290002,서울특별시 성북구 종암동(고려대역_종암로_진입_1 부근),7,7,0,2,5,127.0363143,37.59163931,
6193917,2016047,1129013500,11290003,서울특별시 성북구 종암동(타타타노래방 부근),5,5,0,3,1,127.0316506,37.60510201,
6176722,2016047,1135010200,11350008,서울특별시 노원구 월계동(진아교통 부근),4,5,1,0,2,127.0641268,37.6281852,
6194553,2016047,1135010500,11350009,서울특별시 노원구 상계동(도봉월드상가 부근),4,4,0,1,3,127.0491699,37.66759941,
6195196,2016047,1150010900,11500004,서울특별시 강서구 방화동(세민정보고교앞 부근),6,7,0,3,3,126.8166494,37.5682666,
6195507,2016047,1150010300,11500005,서울특별시 강서구 화곡동(우장공원입구 부근),6,6,0,2,3,126.8506079,37.55298517,
6195835,2016047,1156011300,11560014,서울특별시 영등포구 당산동3가(서림빌딩 부근),6,6,0,2,1,126.8969747,37.52683349,
6177018,2016047,1156012800,11560015,서울특별시 영등포구 양평동4가(양평동사거리 부근),6,6,0,0,5,126.8976089,37.53611064,
6193914,2016047,1129013500,11290004,서울특별시 성북구 종암동(내부순환로-월송길램프(2) 부근),5,5,0,1,3,127.0405667,37.60060287,
6193916,2016047,1129013700,11290005,서울특별시 성북구 상월곡동(월곡중학교앞 부근),5,5,0,1,3,127.0488941,37.6065059,
6200313,2016047,1135010600,11350010,서울특별시 노원구 중계동(서울제일교회앞 부근),4,4,0,1,2,127.07684,37.64819344,
6176756,2016047,1135010300,11350011,서울특별시 노원구 공릉동(공릉동부아파트 부근),4,4,0,1,0,127.0773717,37.62875616,
6195191,2016047,1150010600,11500006,서울특별시 강서구 내발산동(수명파크3단지 부근),5,5,1,0,3,126.8262243,37.55393125,
6195198,2016047,1150010300,11500007,서울특별시 강서구 화곡동(신정여상 부근),5,6,0,3,2,126.8581628,37.53173876,
6195836,2016047,1156013200,11560016,서울특별시 영등포구 신길동(신길삼거리_노량진로_진입 부근),6,6,0,0,4,126.9191978,37.51411405,
6195838,2016047,1156010400,11560017,서울특별시 영등포구 영등포동3가(영등포시장앞 부근),5,5,1,3,1,126.9064871,37.51955265,
6177128,2016047,1129013500,11290006,서울특별시 성북구 종암동(영희피아노학원 부근),4,5,0,2,1,127.0337984,37.59945167,
6193915,2016047,1129010900,11290007,서울특별시 성북구 동소문동6가(기분좋은날 부근),4,4,0,1,3,127.0147391,37.59219565,
6194552,2016047,1135010600,11350012,서울특별시 노원구 중계동(고운유치원 부근),4,4,0,0,4,127.0661981,37.64390944,
6194865,2016047,1138010600,11380001,서울특별시 은평구 대조동(갈현동먹자골목 부근),9,10,0,4,6,126.9209324,37.61827479,
6195199,2016047,1150010700,11500008,서울특별시 강서구 외발산동(강서면허시험장삼거리_남부순환 부근),5,5,0,3,1,126.820434,37.54793658,
6176116,2016047,1150010600,11500009,서울특별시 강서구 내발산동(우리은행내발산 부근),5,6,0,2,3,126.8362145,37.55159107,
6175988,2016047,1156012500,11560018,서울특별시 영등포구 양평동1가(유원문래APT 부근),4,4,1,1,1,126.8874516,37.52141147,
6176625,2016047,1156011000,11560019,서울특별시 영등포구 여의도동(마포대교남단_일반국도46호선_진 부근),4,5,0,3,1,126.9318011,37.53038528,
6176028,2016047,1129013600,11290008,서울특별시 성북구 하월곡동(월곡동복지회관 부근),4,4,0,1,2,127.0363148,37.60285063,
6194226,2016047,1130510300,11305001,서울특별시 강북구 수유동(우이교사거리 부근),8,8,1,5,2,127.0231336,37.64272481,
